…之…	非常
比衣裳	测量
比衣服	测量
比舞	表演
比	比方
比倒	依照
比球	比球
闭	熄灭
闭气	闭气
闭气	闭气
闭嘴(巴)	闭嘴
闭汗	感冒
闭殓	装殓
闭眼(睛)	闭眼
避鼠	尽职
避煞	招魂
鐾刀布	磨刀石
屄	阴道
劈里啪啦	劈里啪啦
匹	档子
皮	表面
皮子	表面
皮尺	皮尺
(皮)砣子	拳头
掟子	拳头
皮鞋	皮鞋
皮泡脸肿	浮肿
皮帽子	帽子
皮帽	帽子
皮袄	皮袄
皮条客	掮客
皮绊	奸情
皮蛋	皮蛋
皮面	表面
(皮)灯影儿	道具
(皮)灯影儿戏	皮影戏
皮匠	慢性子
枇杷	枇杷
疲	疲沓
疲塌嘴歪	精疲力竭
脾	脾脏
脾脏	脾脏
痞	诬赖
屁	一丁点儿
屁股	屁股
屁儿	屁股
屁股包包	口袋
屁股沟沟	股骨
屁股墩墩	屁股
屁巴骨	尾椎
屁爬虫	苍蝇
屁眼儿	肛门
眯	闭眼
眉毛	眉毛
密	密密麻麻
密鸳篼儿	撮箕
蜜橘	蜜橘
蜜蜂	蜜蜂
谜语	谜语
篾块儿	篾片
篾条	篾片
篾片儿	篾片
猕猴桃	猕猴桃
米子	籽
米米	籽
米筛子	筛子
米筛筛	筛子
米糕糕	米粥
米汤	米汤
米凉粉儿	凉粉
米虫	核桃虫
宓	憋气
宓死	淹死
宓头儿	扎猛子
低头	低头
滴滴儿	一丁点儿
的确	的确
滴	档子
抵事	中用
抵得倒	相当于
抵背脊骨	痛骂
抵肋巴骨	痛骂
抵穿	揭穿
抵门杠	木棒
门杠子	木棒
抵针	顶针
抵拢	到达
抵拢倒拐	打弯
抵拢坎坎	火烧眉毛
底实	底细
底底	底
底底下	底下
底底头	里面
底下	底下
底脚	下面
地	旱地
地皮子	地面
地皮风	谣言
地契	地契
地租	租子
地乌龟	昆虫
地鳖虫	昆虫
地八	打牌
地踏	地方
地下	地面上
地底下	地面上
地瓜(儿)	地瓜
地脚	地基
地脚石	地基
地牌	纸牌
地脉龙神	土地神
地(高)上	地面上
地高头	地面上
地转转儿	玩具
地阵板	地板
地方	地方
弟媳	弟媳
弟娃儿	弟弟
弟弟	弟弟
弟兄两个	亲戚
逮捕	逮捕
第一	老大
第一个	老大
第一名	冠军
第二	第二
第二个	第二
第二天	明天
蒂蒂	把儿
递点子	递眼色
递眼色	递眼色
剔剪	剪子
梯子	梯子
梯梯	梯子
锑锅	铝锅
堤岸	堤岸
提提	舀子
提子	舀子
提起	谈及
提土旁	偏旁
眯眯眼儿	眼睛
提虚劲(儿)	虚张声势
提手旁	偏旁
提口袋的	负责人
踢腿	踢腿
踢毽(儿)	捉迷藏
蹄筋(儿)	蹄筋
体	像
体子	身体
剃胎毛(儿)	剃头
剃胎发	剃头
剃刀	剃刀
剃头	剃头
剃头挑子	小摊
剃头匠	剃头匠
剃串连胡子	碰硬
的	的
哩哩呐	唢呐
砺	擦拭
立	站立
立字据	立字
立时	立刻
立马	立刻
立眉竖眼	怒不可遏
立夏	立夏
立早章	汉姓
立秋	立秋
立春	立春
立裆	腰围
立冬	立冬
梨子	梨子
梨(儿)	梨子
犁	扒犁
犁头	犁头
犁田	犁田
犁把把	犁头
犁弯	犁杖
犁镜	犁铧
历书	黄历
离婚	离婚
打脱离	离婚
篱壁	墙壁
篱寨	篱笆
李子	李子
里路…里路…	齐头并进
里把里路	约数
里把二里路	约数
理视	理睬
理抹	清理
理发	理发
理发椅子	椅子
理发店(儿)	理发店
理发铺	理发店
理发剪	剪刀
里里头	里面
里脊	里脊
里屋	里屋
里间	里屋
里扯	虚伪
里扯火	伪君子
里面	里面
里头	里面
礼礼信信	文质彬彬
礼拜天	礼拜天
礼信	礼节
鲤鱼	鲤鱼
鲤鱼斑	波状云
利子	舌面
利实	麻利
利刷	麻利
利皮利骨	生疏
利息	利息
利钱	利息
利汗	吸水
利边	故意
荔枝	荔枝
沥米饭	米饭
㚻子	男妓
基脚	地基
鸡	鸡子
鸡汁锅贴	锅贴
鸡屎(粪)	粪便
鸡皮疙瘩	鸡皮疙瘩
鸡皮纤	鸡皮疙瘩
鸡鸡	阴茎
鸡巴	鸡巴
鸡杂	鸡杂
鸡扌哈食	觅食
鸡扌哈豆腐	豆腐
鸡娃儿	鸡子
鸡娃子	鸡子
鸡婆	母鸡
鸡母	母鸡
鸡婆鞋	鞋子
鸡摸眼	夜盲
鸡蒙眼	夜盲
鸡咯咯	白孔雀
鸡窝(窝)	巢穴
鸡脚神	怅鬼
鸡血李	李子
鸡血(衁儿)	鲜血
鸡崽崽	鸡子
鸡毛掸子	鸡毛掸子
鸡毛店儿	旅店
(鸡毛)毽儿	毽子
鸡爪子	爪子
鸡爪爪	爪子
鸡罩(罩)	鸡笼
鸡头莲	莲花
鸡蛋	鸡蛋
(鸡)蛋汤	三鲜汤
鸡眼(儿)	鸡眼
鸡眼睛	鸡眼
鸡冠子	鸡冠
鸡冠冠	鸡冠
鸡冠花	牵牛花
鸡冠油	脂肪
鸡心白	白菜
鸡棍儿	阴茎
鸡郡肝儿	胗
鸡肠带儿	带子
鸡笼(笼)	鸡笼
鸡公	公鸡
鸡公车	手推车
迹印	痕迹
脊柱	脊柱
积肥	积肥
积口徳	积德
激	煎炒
己	天干
几师徒	我们
几姑嫂	我们
几个	极多
几前后	我们
挤死	掐断
挤眉眨眼(儿)	挤眉弄眼
挤热和	取暖
挤闹热	看热闹
挤眼睛	眨巴
